hour,month,day,hour_of_day,t_ambient_C,t_internal_C,heater_on,fan_on,charge_inhibit,q_heater_W,q_fan_W,stress_t_ambient_C,stress_t_internal_C,stress_heater_on,stress_fan_on,stress_charge_inhibit,stress_q_heater_W,stress_q_fan_W
0,1,1,0,-4.5,13.6,0,0,0,0.0,0.0,-4.5,13.6,0,0,0,0.0,0.0
1,1,1,1,-5.4,12.2,0,0,0,0.0,0.0,-5.4,12.2,0,0,0,0.0,0.0
2,1,1,2,-6.4,10.8,0,0,0,0.0,0.0,-6.4,10.8,0,0,0,0.0,0.0
3,1,1,3,-7.2,9.5,0,0,0,0.0,0.0,-7.2,9.5,0,0,0,0.0,0.0
4,1,1,4,-7.8,8.3,0,0,0,0.0,0.0,-7.8,8.3,0,0,0,0.0,0.0
5,1,1,5,-8.2,7.1,0,0,0,0.0,0.0,-8.2,7.1,0,0,0,0.0,0.0
6,1,1,6,-8.3,6.1,0,0,0,0.0,0.0,-8.3,6.1,0,0,0,0.0,0.0
7,1,1,7,-8.2,5.1,0,0,0,0.0,0.0,-8.2,5.1,0,0,0,0.0,0.0
8,1,1,8,-7.8,4.4,0,0,0,0.0,0.0,-7.8,4.4,0,0,0,0.0,0.0
9,1,1,9,-7.2,5.6,1,0,0,12.0,0.0,-7.2,5.6,1,0,0,12.0,0.0
10,1,1,10,-6.4,6.7,1,0,0,12.0,0.0,-6.4,6.7,1,0,0,12.0,0.0
11,1,1,11,-5.4,7.9,1,0,0,12.0,0.0,-5.4,7.9,1,0,0,12.0,0.0
12,1,1,12,-4.5,9.0,1,0,0,12.0,0.0,-4.5,9.0,1,0,0,12.0,0.0
13,1,1,13,-3.5,10.2,1,0,0,12.0,0.0,-3.5,10.2,1,0,0,12.0,0.0
14,1,1,14,-2.5,9.5,0,0,0,0.0,0.0,-2.5,9.5,0,0,0,0.0,0.0
15,1,1,15,-1.7,9.0,0,0,0,0.0,0.0,-1.7,9.0,0,0,0,0.0,0.0
16,1,1,16,-1.1,8.5,0,0,0,0.0,0.0,-1.1,8.5,0,0,0,0.0,0.0
17,1,1,17,-0.7,8.0,0,0,0,0.0,0.0,-0.7,8.0,0,0,0,0.0,0.0
18,1,1,18,-0.6,7.6,0,0,0,0.0,0.0,-0.6,7.6,0,0,0,0.0,0.0
19,1,1,19,-0.7,7.1,0,0,0,0.0,0.0,-0.7,7.1,0,0,0,0.0,0.0
20,1,1,20,-1.1,6.7,0,0,0,0.0,0.0,-1.1,6.7,0,0,0,0.0,0.0
21,1,1,21,-1.7,6.2,0,0,0,0.0,0.0,-1.7,6.2,0,0,0,0.0,0.0
22,1,1,22,-2.5,5.7,0,0,0,0.0,0.0,-2.5,5.7,0,0,0,0.0,0.0
23,1,1,23,-3.5,5.2,0,0,0,0.0,0.0,-3.5,5.2,0,0,0,0.0,0.0
24,1,2,0,-2.7,4.8,0,0,0,0.0,0.0,-2.7,4.8,0,0,0,0.0,0.0
25,1,2,1,-3.7,6.0,1,0,0,12.0,0.0,-3.7,6.0,1,0,0,12.0,0.0
26,1,2,2,-4.7,7.1,1,0,0,12.0,0.0,-4.7,7.1,1,0,0,12.0,0.0
27,1,2,3,-5.5,8.0,1,0,0,12.0,0.0,-5.5,8.0,1,0,0,12.0,0.0
28,1,2,4,-6.1,8.8,1,0,0,12.0,0.0,-6.1,8.8,1,0,0,12.0,0.0
29,1,2,5,-6.5,9.4,1,0,0,12.0,0.0,-6.5,9.4,1,0,0,12.0,0.0
30,1,2,6,-6.6,10.0,1,0,0,12.0,0.0,-6.6,10.0,1,0,0,12.0,0.0
31,1,2,7,-6.5,8.9,0,0,0,0.0,0.0,-6.5,8.9,0,0,0,0.0,0.0
32,1,2,8,-6.1,8.0,0,0,0,0.0,0.0,-6.1,8.0,0,0,0,0.0,0.0
33,1,2,9,-5.5,7.3,0,0,0,0.0,0.0,-5.5,7.3,0,0,0,0.0,0.0
34,1,2,10,-4.7,6.7,0,0,0,0.0,0.0,-4.7,6.7,0,0,0,0.0,0.0
35,1,2,11,-3.7,6.3,0,0,0,0.0,0.0,-3.7,6.3,0,0,0,0.0,0.0
36,1,2,12,-2.7,6.0,0,0,0,0.0,0.0,-2.7,6.0,0,0,0,0.0,0.0
37,1,2,13,-1.7,5.9,0,0,0,0.0,0.0,-1.7,5.9,0,0,0,0.0,0.0
38,1,2,14,-0.8,5.8,0,0,0,0.0,0.0,-0.8,5.8,0,0,0,0.0,0.0
39,1,2,15,-0.0,5.7,0,0,0,0.0,0.0,-0.0,5.7,0,0,0,0.0,0.0
40,1,2,16,0.6,5.7,0,0,0,0.0,0.0,0.6,5.7,0,0,0,0.0,0.0
41,1,2,17,1.0,5.6,0,0,0,0.0,0.0,1.0,5.6,0,0,0,0.0,0.0
42,1,2,18,1.1,5.5,0,0,0,0.0,0.0,1.1,5.5,0,0,0,0.0,0.0
43,1,2,19,1.0,5.4,0,0,0,0.0,0.0,1.0,5.4,0,0,0,0.0,0.0
44,1,2,20,0.6,5.2,0,0,0,0.0,0.0,0.6,5.2,0,0,0,0.0,0.0
45,1,2,21,-0.0,5.1,0,0,0,0.0,0.0,-0.0,5.1,0,0,0,0.0,0.0
46,1,2,22,-0.8,4.8,0,0,0,0.0,0.0,-0.8,4.8,0,0,0,0.0,0.0
47,1,2,23,-1.7,6.3,1,0,0,12.0,0.0,-1.7,6.3,1,0,0,12.0,0.0
48,1,3,0,-1.6,7.6,1,0,0,12.0,0.0,-1.6,7.6,1,0,0,12.0,0.0
49,1,3,1,-2.6,8.7,1,0,0,12.0,0.0,-2.6,8.7,1,0,0,12.0,0.0
50,1,3,2,-3.6,9.6,1,0,0,12.0,0.0,-3.6,9.6,1,0,0,12.0,0.0
51,1,3,3,-4.4,10.4,1,0,0,12.0,0.0,-4.4,10.4,1,0,0,12.0,0.0
52,1,3,4,-5.0,9.3,0,0,0,0.0,0.0,-5.0,9.3,0,0,0,0.0,0.0
53,1,3,5,-5.4,8.3,0,0,0,0.0,0.0,-5.4,8.3,0,0,0,0.0,0.0
54,1,3,6,-5.5,7.4,0,0,0,0.0,0.0,-5.5,7.4,0,0,0,0.0,0.0
55,1,3,7,-5.4,6.6,0,0,0,0.0,0.0,-5.4,6.6,0,0,0,0.0,0.0
56,1,3,8,-5.0,6.0,0,0,0,0.0,0.0,-5.0,6.0,0,0,0,0.0,0.0
57,1,3,9,-4.4,5.5,0,0,0,0.0,0.0,-4.4,5.5,0,0,0,0.0,0.0
58,1,3,10,-3.6,5.2,0,0,0,0.0,0.0,-3.6,5.2,0,0,0,0.0,0.0
59,1,3,11,-2.6,5.0,0,0,0,0.0,0.0,-2.6,5.0,0,0,0,0.0,0.0
60,1,3,12,-1.6,5.0,0,0,0,0.0,0.0,-1.6,5.0,0,0,0,0.0,0.0
